"video_id","word","n","totalVideo","freqVideo","date","title","viewCount","likeCount","dislikeCount","commentCount","source"
"qtXLBcplNJ0","secrets",1,1,1,2016-09-20,"Dree Hemingway’s Real-Girl Guide to No-Makeup Makeup | Beauty Secrets | Vogue",782196,10825,229,163,"Vogue"
"qtXLBcplNJ0","vogue",1,1,1,2016-09-20,"Dree Hemingway’s Real-Girl Guide to No-Makeup Makeup | Beauty Secrets | Vogue",782196,10825,229,163,"Vogue"
"RlduVwzqK2o","73",1,1,1,2017-09-21,"73 Questions With Tracee Ellis Ross | Vogue",836119,28655,341,1778,"Vogue"
"RlduVwzqK2o","ellis",1,1,1,2017-09-21,"73 Questions With Tracee Ellis Ross | Vogue",836119,28655,341,1778,"Vogue"
"RlduVwzqK2o","questions",1,1,1,2017-09-21,"73 Questions With Tracee Ellis Ross | Vogue",836119,28655,341,1778,"Vogue"
"RlduVwzqK2o","ross",1,1,1,2017-09-21,"73 Questions With Tracee Ellis Ross | Vogue",836119,28655,341,1778,"Vogue"
"RlduVwzqK2o","tracee",1,1,1,2017-09-21,"73 Questions With Tracee Ellis Ross | Vogue",836119,28655,341,1778,"Vogue"
"RlduVwzqK2o","vogue",1,1,1,2017-09-21,"73 Questions With Tracee Ellis Ross | Vogue",836119,28655,341,1778,"Vogue"
"s7Cn0XHvBx0","beauty",1,1,1,2018-03-28,"French Supermodel Cindy Bruna's Guide to the Parisian Smoky Eye | Beauty Secrets | Vogue",475671,19136,141,469,"Vogue"
"s7Cn0XHvBx0","bruna's",1,1,1,2018-03-28,"French Supermodel Cindy Bruna's Guide to the Parisian Smoky Eye | Beauty Secrets | Vogue",475671,19136,141,469,"Vogue"
"s7Cn0XHvBx0","cindy",1,1,1,2018-03-28,"French Supermodel Cindy Bruna's Guide to the Parisian Smoky Eye | Beauty Secrets | Vogue",475671,19136,141,469,"Vogue"
"s7Cn0XHvBx0","eye",1,1,1,2018-03-28,"French Supermodel Cindy Bruna's Guide to the Parisian Smoky Eye | Beauty Secrets | Vogue",475671,19136,141,469,"Vogue"
"s7Cn0XHvBx0","french",1,1,1,2018-03-28,"French Supermodel Cindy Bruna's Guide to the Parisian Smoky Eye | Beauty Secrets | Vogue",475671,19136,141,469,"Vogue"
"s7Cn0XHvBx0","guide",1,1,1,2018-03-28,"French Supermodel Cindy Bruna's Guide to the Parisian Smoky Eye | Beauty Secrets | Vogue",475671,19136,141,469,"Vogue"
"s7Cn0XHvBx0","parisian",1,1,1,2018-03-28,"French Supermodel Cindy Bruna's Guide to the Parisian Smoky Eye | Beauty Secrets | Vogue",475671,19136,141,469,"Vogue"
"s7Cn0XHvBx0","secrets",1,1,1,2018-03-28,"French Supermodel Cindy Bruna's Guide to the Parisian Smoky Eye | Beauty Secrets | Vogue",475671,19136,141,469,"Vogue"
"s7Cn0XHvBx0","smoky",1,1,1,2018-03-28,"French Supermodel Cindy Bruna's Guide to the Parisian Smoky Eye | Beauty Secrets | Vogue",475671,19136,141,469,"Vogue"
"s7Cn0XHvBx0","supermodel",1,1,1,2018-03-28,"French Supermodel Cindy Bruna's Guide to the Parisian Smoky Eye | Beauty Secrets | Vogue",475671,19136,141,469,"Vogue"
"s7Cn0XHvBx0","vogue",1,1,1,2018-03-28,"French Supermodel Cindy Bruna's Guide to the Parisian Smoky Eye | Beauty Secrets | Vogue",475671,19136,141,469,"Vogue"
"symdi5KSJts","beauty",1,1,1,2017-11-14,"Model Fei Fei Sun Perform Skin-Care Magic | Beauty Secrets | Vogue",1249161,24354,595,816,"Vogue"
"symdi5KSJts","care",1,1,1,2017-11-14,"Model Fei Fei Sun Perform Skin-Care Magic | Beauty Secrets | Vogue",1249161,24354,595,816,"Vogue"
"symdi5KSJts","magic",1,1,1,2017-11-14,"Model Fei Fei Sun Perform Skin-Care Magic | Beauty Secrets | Vogue",1249161,24354,595,816,"Vogue"
"symdi5KSJts","model",1,1,1,2017-11-14,"Model Fei Fei Sun Perform Skin-Care Magic | Beauty Secrets | Vogue",1249161,24354,595,816,"Vogue"
"symdi5KSJts","perform",1,1,1,2017-11-14,"Model Fei Fei Sun Perform Skin-Care Magic | Beauty Secrets | Vogue",1249161,24354,595,816,"Vogue"
"symdi5KSJts","secrets",1,1,1,2017-11-14,"Model Fei Fei Sun Perform Skin-Care Magic | Beauty Secrets | Vogue",1249161,24354,595,816,"Vogue"
"symdi5KSJts","skin",1,1,1,2017-11-14,"Model Fei Fei Sun Perform Skin-Care Magic | Beauty Secrets | Vogue",1249161,24354,595,816,"Vogue"
"symdi5KSJts","sun",1,1,1,2017-11-14,"Model Fei Fei Sun Perform Skin-Care Magic | Beauty Secrets | Vogue",1249161,24354,595,816,"Vogue"
"symdi5KSJts","vogue",1,1,1,2017-11-14,"Model Fei Fei Sun Perform Skin-Care Magic | Beauty Secrets | Vogue",1249161,24354,595,816,"Vogue"
"uBsBOTGBwBg","3",1,1,1,2018-01-16,"Jordyn Woods’s 3-Step Guide to Contouring | Beauty Secrets | Vogue",2467622,67682,2271,1870,"Vogue"
