"video_id","word","n","totalVideo","freqVideo","date","title","viewCount","likeCount","dislikeCount","commentCount","source","totalSource","freqSource"
"uOsabEIeikY","pushing",1,1,1,2016-05-02,"32 Best Boundary-Pushing Met Gala Beauty Looks",53464,825,92,45,"Vogue",2423,0.000412711514651259
"wVZzYknXPUg","gala",1,1,1,2016-05-05,"Nick Jonas Suits Up for the Met Gala",60305,1495,40,32,"Vogue",2423,0.000412711514651259
"wVZzYknXPUg","jonas",1,1,1,2016-05-05,"Nick Jonas Suits Up for the Met Gala",60305,1495,40,32,"Vogue",2423,0.000412711514651259
"wVZzYknXPUg","met",1,1,1,2016-05-05,"Nick Jonas Suits Up for the Met Gala",60305,1495,40,32,"Vogue",2423,0.000412711514651259
"wVZzYknXPUg","nick",1,1,1,2016-05-05,"Nick Jonas Suits Up for the Met Gala",60305,1495,40,32,"Vogue",2423,0.000412711514651259
"wVZzYknXPUg","suits",1,1,1,2016-05-05,"Nick Jonas Suits Up for the Met Gala",60305,1495,40,32,"Vogue",2423,0.000412711514651259
"yfIm_dajOCM","2016",1,1,1,2016-03-07,"Givenchy Fall 2016 Ready-to-Wear | Paris Fashion Week",15675,375,7,23,"Vogue",2423,0.000412711514651259
"yfIm_dajOCM","fall",1,1,1,2016-03-07,"Givenchy Fall 2016 Ready-to-Wear | Paris Fashion Week",15675,375,7,23,"Vogue",2423,0.000412711514651259
"yfIm_dajOCM","fashion",1,1,1,2016-03-07,"Givenchy Fall 2016 Ready-to-Wear | Paris Fashion Week",15675,375,7,23,"Vogue",2423,0.000412711514651259
"yfIm_dajOCM","givenchy",1,1,1,2016-03-07,"Givenchy Fall 2016 Ready-to-Wear | Paris Fashion Week",15675,375,7,23,"Vogue",2423,0.000412711514651259
"yfIm_dajOCM","paris",1,1,1,2016-03-07,"Givenchy Fall 2016 Ready-to-Wear | Paris Fashion Week",15675,375,7,23,"Vogue",2423,0.000412711514651259
"yfIm_dajOCM","ready",1,1,1,2016-03-07,"Givenchy Fall 2016 Ready-to-Wear | Paris Fashion Week",15675,375,7,23,"Vogue",2423,0.000412711514651259
"yfIm_dajOCM","wear",1,1,1,2016-03-07,"Givenchy Fall 2016 Ready-to-Wear | Paris Fashion Week",15675,375,7,23,"Vogue",2423,0.000412711514651259
"yfIm_dajOCM","week",1,1,1,2016-03-07,"Givenchy Fall 2016 Ready-to-Wear | Paris Fashion Week",15675,375,7,23,"Vogue",2423,0.000412711514651259
